title,authors,year,venue,doi,arxiv_id,dblp_key,sources,relevance_score,version_status,access_status,downloaded_file,download_error
Evaluation of the Choice of LLM in a Multi-Agent Solution for GUI-Test Generation,Stevan Tomic; Emil Alégroth; Maycel Isaac,2025,"2025 IEEE Conference on Software Testing, Verification and Validation (ICST)",10.1109/icst62969.2025.10989038,,,crossref; unpaywall,0.4,published_conference_version,open_pdf_found,,
Continuous Benchmark Generation for Evaluating Enterprise-scale LLM Agents,Divyanshu Saxena; Rishikesh Maurya; Xiao-Xuan Ou; Gagan Somashekar; Shachee Mishra Gupta; Arun Iyer; Yu Kang; Chetan Bansal; Aditya Akella; Saravan Rajmohan,2025,LLM4CODE@ICSE,10.1145/3786181.3788708,2511.10049,,semantic_scholar,0.3333,published_with_preprint,open_pdf_found,,
