title,authors,year,venue,doi,arxiv_id,dblp_key,sources,relevance_score,version_status,access_status,downloaded_file,download_error
Differential Testing of Concurrent Classes,Valerio Terragni; Shing-Chi Cheung,2025,"2025 IEEE Conference on Software Testing, Verification and Validation (ICST)",10.1109/icst62969.2025.10989027,,,crossref,0.2286,published_conference_version,metadata_only,,
Towards Cross-Build Differential Testing,Jens Dietrich; Tim White; Valerio Terragni; Behnaz Hassanshahi,2025,"2025 IEEE Conference on Software Testing, Verification and Validation (ICST)",10.1109/icst62969.2025.10989044,,,crossref,0.2286,published_conference_version,metadata_only,,
Designing and Verifying Agentic AI Systems through Structural Architecture and State Analysis,Juyeon Yoon,2026,"2026 IEEE International Conference on Software Testing, Verification and Validation (ICST)",10.1109/icst69053.2026.00013,,,crossref,0.1143,published_conference_version,metadata_only,,
DeepFix: Debugging and Fixing Machine Learning Workflow using Agentic AI,Fadel Mamar Seydou; Arnab Sharma,2026,"2026 IEEE International Conference on Software Testing, Verification and Validation (ICST)",10.1109/icst69053.2026.00047,,,crossref,0.1143,published_conference_version,metadata_only,,
How well LLM-based test generation techniques perform with newer LLM versions?,Michael Konstantinou; Renzo Degiovanni; Mike Papadakis,2026,"2026 IEEE International Conference on Software Testing, Verification and Validation (ICST)",10.1109/icst69053.2026.00040,,,crossref,0.1143,published_conference_version,metadata_only,,
