title,authors,year,venue,doi,arxiv_id,dblp_key,sources,relevance_score,version_status,access_status,downloaded_file,download_error
A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs,Myeongsoo Kim; Tyler Stennett; Saurabh Sinha; Alessandro Orso,2025,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),10.1109/icse55347.2025.00179,,,crossref,0.3429,published_conference_version,metadata_only,,
Beyond Static GUI Agent: Evolving LLM-based GUI Testing via Dynamic Memory,Mengzhuo Chen; Zhe Liu; Chunyang Chen; Junjie Wang; Yangguang Xue; Boyu Wu; Yuekai Huang; Libin Wu; Qing Wang,2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),10.1109/ase63991.2025.00135,,,crossref,0.3429,published_conference_version,metadata_only,,
Observability and Fault Injection for LLM-Based Multi-Agent Systems in Software Engineering,Zahra Seyedghorban; Egor Klimov; Arie van Deursen; Annibale Panichella; Burcu Kulahcioglu Ozkan,2026,"2026 IEEE International Conference on Software Testing, Verification and Validation (ICST)",10.1109/icst69053.2026.00037,,,crossref; unpaywall,0.2286,published_conference_version,open_pdf_found,,
Evaluation of the Choice of LLM in a Multi-Agent Solution for GUI-Test Generation,Stevan Tomic; Emil Alégroth; Maycel Isaac,2025,"2025 IEEE Conference on Software Testing, Verification and Validation (ICST)",10.1109/icst62969.2025.10989038,,,crossref; unpaywall,0.2286,published_conference_version,open_pdf_found,,
Guide-LLM: An Embodied LLM Agent and Text-Based Topological Map for Robotic Guidance of People with Visual Impairments,Sangmim Song; Sarath Kodagoda; Amal Gunatilake; Marc G. Carmichael; Karthick Thiyagarajan; Jodi Martin,2025,2025 18th International Conference on Sensing Technology (ICST),10.1109/icst66402.2025.11512562,,,crossref; unpaywall,0.2286,published_conference_version,open_pdf_found,,
Agile Regression Testing,Suddhasvatta Das,2024,"2024 IEEE Conference on Software Testing, Verification and Validation (ICST)",10.1109/icst60714.2024.00054,,,crossref,0.2286,published_conference_version,metadata_only,,
CrossVerify: low-payload external validation signals for heterogeneous black-box LLM cascades,Li Luo; Keng Yap Ng; Wei Chong Choo,2026,ICST Transactions on Scalable Information Systems,10.4108/eetsis.14497,,,openalex; unpaywall,0.1143,published_conference_version,open_pdf_found,,
How well LLM-based test generation techniques perform with newer LLM versions?,Michael Konstantinou; Renzo Degiovanni; Mike Papadakis,2026,"2026 IEEE International Conference on Software Testing, Verification and Validation (ICST)",10.1109/icst69053.2026.00040,,,crossref,0.1143,published_conference_version,metadata_only,,
