title,authors,year,venue,doi,arxiv_id,dblp_key,sources,relevance_score,version_status,access_status,downloaded_file,download_error
TestAgent: A Multi-Agent LLM Framework for Repository-Level Unit Test Generation,Ye Shang; Quan-Jun Zhang; Zheng Zhan; Kent Huang; Chunrong Fang; Zhenyu Chen,2026,SIGSOFT FSE Companion,10.1145/3803437.3806428,,,semantic_scholar,0.4,published_conference_version,open_pdf_found,,
A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs,Myeongsoo Kim; Tyler Stennett; Saurabh Sinha; Alessandro Orso,2025,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),10.1109/icse55347.2025.00179,,,crossref,0.4,published_conference_version,metadata_only,,
Beyond Static GUI Agent: Evolving LLM-based GUI Testing via Dynamic Memory,Mengzhuo Chen; Zhe Liu; Chunyang Chen; Junjie Wang; Yangguang Xue; Boyu Wu; Yuekai Huang; Libin Wu; Qing Wang,2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),10.1109/ase63991.2025.00135,,,crossref,0.4,published_conference_version,metadata_only,,
Mutation-Guided LLM-based Test Generation at Meta,Mark Harman; Jillian Ritchey; Inna Harper; Shubho Sengupta; Ke Mao; Abhishek Gulati; Christopher N Foster; Hervé Robert,2025,SIGSOFT FSE Companion,10.1145/3696630.3728544,2501.12862,,semantic_scholar,0.2667,published_with_preprint,abstract_only,,
Observability and Fault Injection for LLM-Based Multi-Agent Systems in Software Engineering,Zahra Seyedghorban; Egor Klimov; Arie van Deursen; Annibale Panichella; Burcu Kulahcioglu Ozkan,2026,"2026 IEEE International Conference on Software Testing, Verification and Validation (ICST)",10.1109/icst69053.2026.00037,,,crossref; unpaywall,0.2667,published_conference_version,open_pdf_found,,
Evaluation of the Choice of LLM in a Multi-Agent Solution for GUI-Test Generation,Stevan Tomic; Emil Alégroth; Maycel Isaac,2025,"2025 IEEE Conference on Software Testing, Verification and Validation (ICST)",10.1109/icst62969.2025.10989038,,,crossref; unpaywall,0.2667,published_conference_version,open_pdf_found,,
Agile Regression Testing,Suddhasvatta Das,2024,"2024 IEEE Conference on Software Testing, Verification and Validation (ICST)",10.1109/icst60714.2024.00054,,,crossref,0.2667,published_conference_version,metadata_only,,
How well LLM-based test generation techniques perform with newer LLM versions?,Michael Konstantinou; Renzo Degiovanni; Mike Papadakis,2026,"2026 IEEE International Conference on Software Testing, Verification and Validation (ICST)",10.1109/icst69053.2026.00040,,,crossref,0.1333,published_conference_version,metadata_only,,
RIDA: Cross-App Record and Replay for Android,Jiayuan Liang; Sinan Wang; Xiangbo Deng; Yepang Liu,2023,"2023 IEEE Conference on Software Testing, Verification and Validation (ICST)",10.1109/icst57152.2023.00031,,,crossref,0.1333,published_conference_version,metadata_only,,
